City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,kavaratti,24,IN,1542074826,93,10.57,72.64,87.34,7.85
149,siverskiy,90,RU,1542072600,93,59.35,30.08,33.8,8.95
150,orlik,0,RU,1542074827,48,52.51,99.83,-12.92,2.15
151,raton,1,US,1542070440,67,36.9,-104.44,17.06,2.82
152,hirara,40,JP,1542070800,83,24.8,125.28,77.0,11.41
153,sam chuk,0,TH,1542074829,85,14.75,100.09,84.24,7.74
154,ancud,0,CL,1542074829,87,-41.87,-73.83,46.39,2.37
155,magadan,90,RU,1542072600,69,59.56,150.8,35.6,8.95
156,torbay,90,CA,1542070800,64,47.66,-52.73,33.8,33.33
157,dingle,24,PH,1542074830,64,11.0,122.67,86.53,13.78
158,puri,40,ID,1542072600,74,-7.54,112.45,84.2,9.17
159,namibe,32,AO,1542074831,100,-15.19,12.15,73.84,6.29
160,zaterechnyy,92,RU,1542074831,95,44.8,45.21,45.58,20.6
161,lebu,0,ET,1542074831,80,8.96,38.73,35.37,2.71
162,saint-augustin,90,FR,1542072600,93,44.83,-0.61,51.8,2.24
163,honningsvag,92,NO,1542074832,100,70.98,25.97,36.49,4.61
164,gari,92,RU,1542074833,75,59.43,62.35,25.33,6.73
165,aklavik,90,CA,1542070800,84,68.22,-135.01,5.0,12.75
166,sao joao da barra,88,BR,1542074833,99,-21.64,-41.05,76.32,15.23
167,provideniya,40,RU,1542072600,62,64.42,-173.23,24.8,22.37
168,dwarka,40,IN,1542072600,77,28.58,77.04,66.2,4.7
169,leningradskiy,0,RU,1542074835,100,69.38,178.42,10.12,11.21
170,kaitangata,0,NZ,1542074835,72,-46.28,169.85,63.04,7.18
171,contamana,24,PE,1542074908,85,-7.35,-75.01,79.74,2.37
172,jamestown,100,AU,1542074726,43,-33.21,138.6,75.28,8.19
173,surab,0,PK,1542074849,85,28.49,66.26,45.22,2.71
174,hasaki,75,JP,1542072600,72,35.73,140.83,60.8,16.11
175,amparafaravola,68,MG,1542074850,86,-17.68,48.22,65.38,9.19
176,havre-saint-pierre,20,CA,1542070800,79,50.23,-63.6,23.0,10.29
177,mabaruma,92,GY,1542074851,93,8.2,-59.78,79.74,4.61
178,saskylakh,44,RU,1542074851,37,71.97,114.09,-24.62,5.61
179,nelson bay,75,AU,1542072600,44,-32.72,152.14,78.8,13.87
180,royan,90,FR,1542072600,100,45.62,-1.03,53.6,6.93
181,manado,20,ID,1542072600,62,1.49,124.85,87.8,2.24
182,ivdel,12,RU,1542074853,70,60.7,60.42,21.87,9.64
183,katsuura,75,JP,1542071220,100,33.93,134.5,53.6,3.36
184,korcula,0,HR,1542070800,93,42.96,17.14,44.6,2.24
185,zheleznodorozhnyy,0,RU,1542072600,78,55.75,38.0,19.4,6.71
186,praya,40,ID,1542072600,70,-8.71,116.27,86.0,11.41
187,changde,80,CN,1542074854,100,29.04,111.68,54.27,4.61
188,yar-sale,92,RU,1542074855,94,66.83,70.83,30.37,22.28
189,obihiro,20,JP,1542070800,70,42.92,143.2,44.6,2.24
190,puerto ayacucho,8,CO,1542074855,94,5.66,-67.63,76.09,2.59
191,myitkyina,0,MM,1542074856,73,25.38,97.4,72.22,2.71
192,minab,0,IR,1542070800,94,27.15,57.07,69.8,4.7
